"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"LM339";;;
2;"U5,U6";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"74LV8154";;;
3;"XA1";"Arduino_Mega2560_Shield_AMB";1;"Arduino_Mega2560_Shield";;;
4;"C9";"R_1210_3225Metric";1;"10uF0";;;
5;"C1";"R_1812_4532Metric";1;"CP";;;
6;"C2,C3,C4,C5,C6,C7,C8";"R_0805_2012Metric";7;"0u1";;;
7;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
8;"R1";"R_0805_2012Metric";1;"R";;;
9;"R2,R3,R4,R5";"R_0805_2012Metric";4;"4K7";;;
10;"R6,R7,R8";"R_0805_2012Metric";3;"220r";;;
11;"RV1";"23BR10KLFTR";1;"10k0";;;
12;"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10";"PinHeader_1x01_P2.54mm_Vertical";10;"TP";;;
13;"U2,U3";"SOIC-14_3.9x8.7mm_P1.27mm";2;"74HC74";;;
14;"U4";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC00";;;
15;"X1";"DIP-8_W7.62mm";1;"8M0";;;
16;"C10";"R_1206_3216Metric";1;"10uF0";;;
17;"J1";"PinHeader_2x06_P2.54mm_Vertical";1;"BERG 2x6";;;
18;"D1,D2,D3";"R_1210_3225Metric";3;"RED";;;
